11;Vancouver Whitecaps FC;Real Salt Lake;BC Place;MLS-MAT-0005Y0;en
12;Chicago Fire FC;Atlanta United FC;Soldier Field;MLS-MAT-0005Y3;en es
12;FC Cincinnati;Austin FC;TQL Stadium;MLS-MAT-0005Y6;en es
12;Colorado Rapids;San Jose Earthquakes;Dick's Sporting Goods Park;MLS-MAT-0005YF;en es
12;FC Dallas;Real Salt Lake;Toyota Stadium;MLS-MAT-0005YB;en
12;Houston Dynamo FC;Seattle Sounders FC;Shell Energy Stadium;MLS-MAT-0005YC;en es
12;Minnesota United FC;Inter Miami CF;Allianz Field;MLS-MAT-0005Y4;en es
12;Nashville SC;Charlotte FC;Geodis Park;MLS-MAT-0005YD;en
12;New York Red Bulls;LA Galaxy;Sports Illustrated Stadium;MLS-MAT-0005Y8;en es
12;New York City FC;Montreal Impact;Yankee Stadium;MLS-MAT-0005Y7;en es
12;Orlando City SC;New England Revolution;Inter&Co Stadium;MLS-MAT-0005Y9;en
12;Philadelphia Union;Columbus Crew Sc;Subaru Park;MLS-MAT-0005YA;en
12;Portland Timbers;Sporting Kansas City;Providence Park;MLS-MAT-0005YG;en es
12;St. Louis City SC;San Diego FC;Energizer Park;MLS-MAT-0005YE;en es
12;Toronto FC;D.C. United;BMO Field;MLS-MAT-0005Y5;en
12;Vancouver Whitecaps FC;Los Angeles FC;BC Place;MLS-MAT-0005YH;en
13;Austin FC;Atlanta United FC;Q2 Stadium;MLS-MAT-0005YN;en es
13;D.C. United;New York City FC;Audi Field;MLS-MAT-0005YI;en es
13;Houston Dynamo FC;Minnesota United FC;Shell Energy Stadium;MLS-MAT-0005YO;en es
13;Los Angeles FC;Seattle Sounders FC;BMO Stadium;MLS-MAT-0005YS;en es
13;Montreal Impact;Columbus Crew Sc;Saputo Stadium;MLS-MAT-0005YJ;en fr
13;Nashville SC;New York Red Bulls;Geodis Park;MLS-MAT-0005YP;en
13;Orlando City SC;Charlotte FC;Inter&Co Stadium;MLS-MAT-0005YK;en
13;Philadelphia Union;LA Galaxy;Subaru Park;MLS-MAT-0005YL;en
13;Real Salt Lake;Portland Timbers;America First Field;MLS-MAT-0005YR;en es
13;San Diego FC;Colorado Rapids;Snapdragon Stadium;MLS-MAT-0005YT;en es
13;San Jose Earthquakes;Inter Miami CF;PayPal Park;MLS-MAT-0005YU;en es
13;St. Louis City SC;Sporting Kansas City;Energizer Park;MLS-MAT-0005YQ;en es
13;Toronto FC;FC Cincinnati;BMO Field;MLS-MAT-0005YM;en
14;Atlanta United FC;Philadelphia Union;Mercedes-Benz Stadium;MLS-MAT-0005YY;en es
14;Austin FC;Vancouver Whitecaps FC;Q2 Stadium;MLS-MAT-0005Z2;en es
14;Charlotte FC;Chicago Fire FC;Bank of America Stadium;MLS-MAT-0005YZ;en es
14;Colorado Rapids;Real Salt Lake;Dick's Sporting Goods Park;MLS-MAT-0005Z6;en es
14;Columbus Crew Sc;FC Cincinnati;Lower.com Field;MLS-MAT-0005Z0;en
14;FC Dallas;Houston Dynamo FC;Toyota Stadium;MLS-MAT-0005Z3;en
14;LA Galaxy;Los Angeles FC;Dignity Health Sports Park;MLS-MAT-0005Z9;en es
14;Inter Miami CF;Orlando City SC;Chase Stadium;MLS-MAT-0005YX;en es
14;Minnesota United FC;St. Louis City SC;Allianz Field;MLS-MAT-0005Z4;en es
14;Montreal Impact;Toronto FC;Saputo Stadium;MLS-MAT-0005YV;en fr
14;Nashville SC;D.C. United;Geodis Park;MLS-MAT-0005Z5;en
14;New England Revolution;San Jose Earthquakes;Gillette Stadium;MLS-MAT-0005Z1;en
14;New York City FC;New York Red Bulls;Citi Field;MLS-MAT-0005YW;en es
14;Portland Timbers;Seattle Sounders FC;Providence Park;MLS-MAT-0005Z7;en es
14;San Diego FC;Sporting Kansas City;Snapdragon Stadium;MLS-MAT-0005Z8;en es
15;Atlanta United FC;FC Cincinnati;Mercedes-Benz Stadium;MLS-MAT-0005ZO;en es
15;Charlotte FC;Columbus Crew Sc;Bank of America Stadium;MLS-MAT-0005ZC;en es
15;Colorado Rapids;St. Louis City SC;Dick's Sporting Goods Park;MLS-MAT-0005ZK;en es
15;D.C. United;New York Red Bulls;Audi Field;MLS-MAT-0005ZD;en es
15;Sporting Kansas City;New England Revolution;Children's Mercy Park;MLS-MAT-0005ZI;en es
15;Minnesota United FC;Austin FC;Allianz Field;MLS-MAT-0005ZJ;en es
15;Montreal Impact;Los Angeles FC;Saputo Stadium;MLS-MAT-0005ZE;en fr
15;New York City FC;Chicago Fire FC;Yankee Stadium;MLS-MAT-0005ZN;en es
15;Orlando City SC;Portland Timbers;Inter&Co Stadium;MLS-MAT-0005ZF;en
15;Philadelphia Union;Inter Miami CF;Subaru Park;MLS-MAT-0005ZG;en
15;Real Salt Lake;Vancouver Whitecaps FC;America First Field;MLS-MAT-0005ZL;en es
15;San Diego FC;LA Galaxy;Snapdragon Stadium;MLS-MAT-0005ZB;en es
15;San Jose Earthquakes;Houston Dynamo FC;PayPal Park;MLS-MAT-0005ZM;en es
15;Seattle Sounders FC;FC Dallas;Lumen Field;MLS-MAT-0005ZA;en
15;Toronto FC;Nashville SC;BMO Field;MLS-MAT-0005ZH;en
16;Atlanta United FC;Orlando City SC;Mercedes-Benz Stadium;MLS-MAT-0005ZP;en es
16;Austin FC;Real Salt Lake;Q2 Stadium;MLS-MAT-0005ZX;en es
16;FC Cincinnati;FC Dallas;TQL Stadium;MLS-MAT-0005ZQ;en es
16;Columbus Crew Sc;Nashville SC;Lower.com Field;MLS-MAT-0005ZW;en
16;D.C. United;New England Revolution;Audi Field;MLS-MAT-0005ZR;en es
16;LA Galaxy;San Jose Earthquakes;Dignity Health Sports Park;MLS-MAT-0005ZZ;en es
16;Los Angeles FC;Sporting Kansas City;BMO Stadium;MLS-MAT-000600;en es
16;Inter Miami CF;Montreal Impact;Chase Stadium;MLS-MAT-0005ZS;en es
16;New York Red Bulls;Charlotte FC;Sports Illustrated Stadium;MLS-MAT-0005ZU;en es
16;New York City FC;Houston Dynamo FC;Yankee Stadium;MLS-MAT-0005ZT;en es
16;Portland Timbers;Colorado Rapids;Providence Park;MLS-MAT-000601;en es
16;Seattle Sounders FC;San Diego FC;Lumen Field;MLS-MAT-0005ZY;en
16;Toronto FC;Philadelphia Union;BMO Field;MLS-MAT-0005ZV;en
16;Vancouver Whitecaps FC;Minnesota United FC;BC Place;MLS-MAT-000602;en
17;FC Cincinnati;D.C. United;TQL Stadium;MLS-MAT-000605;en es
17;FC Dallas;Philadelphia Union;Toyota Stadium;MLS-MAT-00060A;en
17;Houston Dynamo FC;Sporting Kansas City;Shell Energy Stadium;MLS-MAT-00060B;en es
17;LA Galaxy;Real Salt Lake;Dignity Health Sports Park;MLS-MAT-00060D;en es
17;Los Angeles FC;Colorado Rapids;BMO Stadium;MLS-MAT-00060E;en es
17;Inter Miami CF;Columbus Crew Sc;Chase Stadium;MLS-MAT-000606;en es
17;Montreal Impact;New England Revolution;Saputo Stadium;MLS-MAT-000607;en fr
17;Nashville SC;New York City FC;Geodis Park;MLS-MAT-00060C;en
17;New York Red Bulls;Atlanta United FC;Sports Illustrated Stadium;MLS-MAT-000604;en es
17;Orlando City SC;Chicago Fire FC;Inter&Co Stadium;MLS-MAT-000608;en
17;San Diego FC;Austin FC;Snapdragon Stadium;MLS-MAT-00060F;en es
17;Seattle Sounders FC;Minnesota United FC;Lumen Field;MLS-MAT-00060H;en
17;St. Louis City SC;San Jose Earthquakes;Energizer Park;MLS-MAT-000603;en es
17;Toronto FC;Charlotte FC;BMO Field;MLS-MAT-000609;en
17;Vancouver Whitecaps FC;Portland Timbers;BC Place;MLS-MAT-00060G;en
18;D.C. United;Chicago Fire FC;Audi Field;MLS-MAT-00060I;en es
18;Portland Timbers;St. Louis City SC;Providence Park;MLS-MAT-00060K;en es
18;Vancouver Whitecaps FC;Seattle Sounders FC;BC Place;MLS-MAT-00060J;en
19;Austin FC;New York Red Bulls;Q2 Stadium;MLS-MAT-00060S;en es
19;Chicago Fire FC;Nashville SC;Soldier Field;MLS-MAT-00060T;en es
19;Colorado Rapids;Orlando City SC;Dick's Sporting Goods Park;MLS-MAT-00060X;en es
19;Columbus Crew Sc;Vancouver Whitecaps FC;Lower.com Field;MLS-MAT-00060P;en
19;Houston Dynamo FC;Montreal Impact;Shell Energy Stadium;MLS-MAT-00060U;en es
